Path,Conversion
10 > 3 > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,16
10 > 3 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,12
10 > 3 > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,7
10 > 4 > . > . > . > . > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > ,1
10 > 4 > . > . > . > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > ,1
10 > 4 > . > . > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > ,1
10 > 4 > . > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
10 > 4 > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,5
10 > 4 > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,4
10 > 4 > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,6
10 > 4 > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,14
10 > 4 > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,16
10 > 4 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,21
10 > 4 > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,23
10 > 4 > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
10 > 5 > . > . > . > . > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > ,1
10 > 5 > . > . > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > ,1
